Square_Feet,Bedrooms,Bathrooms,House_Age,Garage_Size,Distance_to_City_Center,Price
3068,6,3,1,1,2.9260850535100236,1001878.7448394699
3888,4,1,22,2,6.2792027457045325,1192508.3917628864
3214,5,2,18,2,6.250063060851218,997197.8108174463
2297,6,3,30,2,9.208359624295614,712751.9211271132
3435,6,3,50,3,19.627006077901516,1028861.9817662955
1600,3,4,4,2,2.282548386992617,536715.3548390222
3363,1,3,18,1,10.855318893231306,988126.0433203061
3061,1,3,33,1,4.407928958231999,908994.213125304
1241,5,2,9,3,19.442854362785138,389345.4369116446
3041,5,3,24,3,3.1527665898218196,962516.7002305345
3824,6,2,1,2,8.668419044870234,1197364.7428653892
4417,2,2,10,3,15.019814711857517,1322721.5558644275
3612,3,2,49,1,14.38653413252146,1040157.3976024357
3945,3,2,30,2,9.031844100984713,1184854.4676970458
2363,6,1,14,1,7.583959191101647,745828.1224266951
3139,4,4,8,2,8.554635192504541,984104.0944224864
2390,2,1,22,3,6.021249000014146,718398.2529999575
4003,6,3,18,2,4.901325835429196,1262846.0224937124
2478,2,1,8,2,10.17775425361891,736153.7372391432
4499,2,1,34,1,6.102141365284539,1338684.5759041463
3556,2,3,20,1,6.461771633047752,1061575.6851008567
1775,6,3,8,2,13.478365206016583,581577.9043819503
1034,3,3,27,3,19.40220930229795,286356.37209310615
3253,3,1,45,3,12.469106810628126,948475.6795681156
4152,2,1,50,1,2.462609874234359,1227739.1703772969
2955,4,3,6,3,2.4360886632272725,950398.7340103182
2585,1,4,15,1,19.077041196065753,746026.8764118027
4943,6,4,15,3,6.648525015839339,1542198.4249524819
4459,1,2,32,2,2.7492727355670334,1340762.1817932988
4073,4,3,3,1,12.38184715585725,1237932.4585324284
2021,6,2,3,1,12.849326787515055,634928.0196374549
4461,2,4,38,2,13.321591582255074,1311337.2252532349
3613,3,2,39,1,6.080638529293285,1065544.08441212
2129,1,3,16,3,1.2871030000750256,677620.690999775
4843,5,3,36,3,19.335292019634966,1451615.123941095
4893,5,3,38,1,5.766967868130948,1487741.096395607
2500,4,1,28,3,13.844499472998402,742120.5015810048
1702,2,2,35,1,14.425967527695482,472306.09741691354
3449,1,4,37,2,12.590140924510228,1013684.5772264693
3777,2,4,38,1,6.945240490059316,1119399.2785298221
2579,1,4,49,2,6.1508288215172495,742567.5135354482
1161,4,1,36,3,12.35569737135136,338886.9078859459
1201,4,1,34,2,17.45581703862214,341063.5488841336
2981,5,3,6,3,18.987940849544515,921106.1774513664
1995,2,4,26,1,3.012210283671395,608016.3691489858
3317,6,1,27,3,3.941743639356677,1046833.7690819299
4934,5,3,21,1,18.949988916878514,1474359.0332493645
1815,2,4,13,1,14.99416933836106,537999.4919849169
4342,5,2,6,2,17.776882671765687,1316767.351984703
1455,6,3,36,2,4.85002004857152,473585.93985428545
4533,3,1,21,2,12.164131551078635,1350769.6053467642
4798,3,1,4,2,14.321652293931999,1449830.043118204
2275,3,3,1,3,13.92212582349248,715311.6225295225
2016,3,3,26,3,8.754882126467265,614072.3536205982
4773,1,1,20,3,1.292502942134861,1456248.4911735954
3343,3,2,37,1,12.075595079281,982889.2147621571
4796,6,4,14,3,5.808929244412567,1519986.2122667623
3767,4,2,20,3,9.554830676714916,1148444.5079698553
4820,4,3,9,3,19.194039286592528,1462626.8821402225
1337,1,2,22,2,8.58167103520626,395029.98689438123
1878,3,1,38,3,16.956230526624108,538560.3084201277
2076,3,3,4,1,4.582271509235771,650130.1854722927
1791,3,4,0,2,13.776749462475548,565876.7516125734
4993,5,1,12,1,19.563132134339927,1484077.6035969802
3264,2,1,20,3,2.935968916585799,1005544.0932502426
1763,5,4,25,2,1.1580789023166482,581298.7632930501
3235,2,4,49,1,9.238073060019673,940420.780819941
1379,3,2,44,3,2.7598841779759766,415717.34746607207
1492,3,3,20,1,15.219302643848396,438037.09206845483
4112,5,4,17,1,18.37642461312262,1238506.7261606322
2180,5,4,36,1,9.246398481466418,659275.8045556007
3062,2,3,44,3,5.915521200953378,907237.4363971399
4884,4,4,31,3,9.253663061125586,1489184.0108166232
1064,2,4,35,1,14.74550853915002,296697.47438254993
4928,5,2,16,2,1.1720290700270486,1542536.912789919
4910,6,1,34,2,12.199625800209246,1474661.1225993722
3568,5,1,48,3,12.652542012860202,1061143.3739614193
2367,6,1,10,3,13.116076691022775,750152.7699269317
2152,1,1,20,3,5.598419519636667,653323.74144109
3027,5,4,25,3,14.567001744184408,935262.9947674468
3695,1,3,3,3,2.7364382403037517,1151971.6852790888
2495,4,3,33,2,4.786136392869215,767684.5908213924
4134,2,2,47,3,17.671930886435156,1202449.2073406945
2162,6,2,17,1,15.03573986380476,666980.7804085857
2522,2,4,39,1,1.2611655262155597,761895.5034213533
3640,1,3,34,2,5.719148947026204,1082586.5531589214
1391,6,3,40,1,5.073723176870127,438887.8304693896
2698,2,1,28,2,6.145320232702479,801170.0393018925
1418,5,4,28,2,5.703635635317841,470035.09309404646
3336,3,4,37,1,2.187999619114069,1021231.0011426578
1378,1,1,41,3,9.719869815339587,388275.39055398124
2796,2,4,20,1,14.921936020937137,823705.1919371886
4561,1,4,41,1,12.527902769631291,1330926.291691106
3278,1,2,12,2,13.784561703363515,973839.3148899095
4065,6,3,48,1,2.541834392188544,1242071.4968234343
3088,6,4,40,2,19.07832349335896,930718.0295199231
4099,3,2,16,3,16.93134484301747,1224357.9654709476
3182,5,3,8,3,16.29671605141759,985427.8518457472
1200,1,1,40,3,16.63669229579358,313948.92311261926
2863,2,2,0,1,18.721499654522464,832907.5010364326
1779,4,2,1,2,11.340825356160256,567835.5239315192
3977,1,3,47,3,4.805358339484892,1187346.9249815454
4104,1,1,28,2,12.718888549198281,1205096.3343524053
4119,3,2,32,2,15.114748379690841,1215440.7548609276
1502,5,4,9,3,15.020430473726483,484519.7085788206
3454,4,4,49,3,10.907531459170722,1033724.4056224879
4645,6,4,39,2,2.300715667337983,1444150.8529979861
2751,6,1,20,3,8.051145830172429,866281.5625094827
1804,2,2,27,2,18.49456556080379,500289.30331758864
3146,4,4,10,2,12.104529285391095,977217.4121438267
3731,6,1,33,3,11.228306921858556,1138804.0792344243
2895,2,4,7,1,6.108216773261677,895716.349680215
3773,5,3,21,3,8.000529478415,1176776.411564755
2570,2,2,7,1,18.011575693910217,749052.2729182694
1960,6,2,48,2,13.662797903009878,588678.6062909703
4810,3,1,14,2,15.960353508294324,1424894.939475117
3660,3,1,16,1,9.632563038285447,1095413.3108851437
2485,3,2,22,2,12.974697169667,738272.908490999
3690,6,4,23,1,5.719288566120943,1159471.134301637
4840,3,4,44,1,14.403755775386239,1421174.7326738413
2028,4,3,18,2,9.124425340363409,641072.7239789098
4289,5,4,4,1,9.408364781480167,1330518.9056555596
1502,2,1,31,3,13.337124166960752,428203.62749911775
3814,2,1,43,3,18.789331807909605,1098866.0045762712
1397,6,4,0,2,2.2161205855637975,503511.6382433086
1870,3,1,22,2,16.670121509593145,540889.6354712206
3842,3,2,36,1,6.5552790978316695,1140515.162706505
1392,1,2,7,1,9.434469635621179,402310.59109313646
1206,5,4,12,1,1.41635324672517,426547.9402598245
2038,4,2,7,1,6.7198754788519475,642875.3735634441
2881,2,2,22,3,10.549993609972478,868298.0191700825
4625,1,3,42,3,2.0673454696013414,1385445.9635911959
3939,1,3,0,2,10.330818858280137,1200455.5434251595
2484,6,2,44,1,18.61510194831012,727376.6941550697
4762,2,4,50,1,3.0024711440482994,1413511.5865678552
4646,6,3,23,2,15.524373833434582,1421112.8784996963
1863,4,1,34,1,8.783750014143859,548186.7499575685
3790,1,1,23,1,13.448300575962422,1091306.0982721127
4312,1,1,16,1,5.944495361719357,1273375.513914842
1563,5,4,4,1,4.030352988285808,528748.9410351426
2020,4,2,19,1,4.048789671153302,633201.6309865401
1095,1,1,20,2,2.339346967219748,326347.95909834077
2923,4,4,39,1,4.5272873931236175,899073.1378206292
2757,2,3,30,2,13.620168314790398,814238.4950556288
3532,3,2,45,1,17.752121625026653,1001596.63512492
4478,1,3,35,3,16.468388026232077,1302936.8359213038
3278,5,4,10,3,14.017551887615198,1027677.3443371544
3796,2,1,14,3,3.0982054048109506,1155369.3837855672
2678,4,1,18,3,6.494561479623047,826184.3155611309
4242,6,4,6,2,6.886330631126911,1339395.0081066194
1540,2,1,50,2,5.749181981554804,439418.4540553356
2059,1,2,27,1,10.78510753448474,588714.6773965458
3572,4,4,50,3,11.17552248271378,1067302.4325518587
2183,3,3,42,2,7.780833528251094,656866.4994152468
4910,2,4,4,1,7.721994015992284,1502455.017952023
2722,1,2,4,1,16.742556360215545,784426.3309193534
4314,5,2,29,2,15.996564118074026,1284145.307645778
4157,6,4,31,3,6.848120801934167,1301727.6375941974
2819,4,4,7,1,18.361980433591928,852144.0586992243
3625,2,1,9,3,19.103485323047614,1075749.5440308573
3729,2,2,37,3,7.208108298570775,1120231.6751042877
3604,3,4,46,3,7.734074027068043,1092706.7779187958
2597,3,4,31,1,10.607048915017218,774004.8532549484
4060,5,2,47,3,18.881295438139798,1196130.1136855807
3693,6,4,27,1,17.65006922970392,1107934.7923108882
1795,5,1,16,3,2.948791289088206,596905.6261327354
2051,1,2,30,1,8.461884122156908,582517.3476335292
2643,1,1,7,3,11.514052605245665,799519.842184263
4627,5,1,39,2,10.55951697847926,1394381.4490645623
2363,6,1,24,3,4.683398290800961,759311.8051275971
4869,5,1,8,3,17.317518652194938,1483913.4440434151
2981,6,2,1,1,13.86187487693991,927468.3753691802
2354,6,1,14,1,16.92025912218427,718685.2226334471
2663,4,1,49,3,17.31652130763997,761028.4360770801
2529,6,4,2,2,15.218761219649055,809896.7163410528
3038,3,2,48,2,9.345001423744629,899115.9957287661
4419,6,2,35,1,12.600388345293066,1324940.8349641208
2496,6,3,3,2,4.04694271627512,830943.1718511747
4302,6,2,13,3,13.799262932023247,1334591.2112039302
3237,1,2,40,1,4.405811859046334,938457.564422861
4296,3,3,40,3,14.18504221969298,1271998.873340921
2408,3,2,24,1,5.362365054325404,738277.9048370238
2400,5,2,49,1,3.2334747028541795,721285.5758914375
2306,4,2,9,1,4.140405312716191,737002.7840618514
3680,6,2,20,1,1.0378505691623352,1164356.448292513
3675,2,3,35,2,14.656052739217074,1070499.8417823487
1972,4,2,11,3,14.915619932109204,607346.1402036723
2768,4,2,26,3,10.78373364835193,840151.7990549442
2282,3,3,39,3,4.06589322005229,694478.3203398432
4430,4,4,1,1,2.587532412703105,1381231.4027618908
1709,6,1,12,2,1.3634503623084533,571353.6489130746
2479,6,4,31,3,4.149215362339193,808718.3539129824
2434,1,3,30,2,17.926255164679787,691944.2345059606
1648,6,1,15,1,5.589199992331953,531226.4000230042
1317,6,3,31,3,7.731155217127098,437437.5343486187
4748,3,3,31,2,3.0015642051453306,1442766.307384564
4296,6,2,33,1,5.224864790215236,1322672.4056293543
4890,1,1,10,2,10.865266844823898,1463432.1994655284
2257,2,2,9,3,12.547300978817399,677602.0970635478
1683,3,1,14,3,5.66169396915801,536904.918092526
1663,2,3,16,1,2.096911025277227,523692.26692416833
2998,3,3,39,1,8.429624513420574,894737.1264597382
4898,5,4,17,1,5.449864047600348,1512004.407857199
4445,4,1,8,2,5.171524541366237,1368254.4263759013
4743,5,2,24,2,19.23739325155565,1414317.820245333
2631,6,4,39,2,12.709709232588757,804998.8723022337
2495,2,4,13,1,11.580690420269821,747601.9287391906
4304,6,4,24,3,8.899726966943117,1348720.8190991706
4763,4,2,49,3,9.14994233517274,1422781.1729944819
2136,3,4,21,2,11.277195072923536,661864.4147812293
2853,4,2,29,2,14.232166333686038,853600.5009989418
2520,1,4,19,3,14.34077582745476,755860.6725176357
3489,4,2,20,3,4.2621842464035415,1088204.4472607893
1563,1,3,43,2,10.502142289455913,443935.5731316323
2291,4,3,31,2,8.827203805647937,700982.3885830562
4581,1,3,50,3,17.5400123591183,1321129.962922645
4878,2,3,45,1,12.996959503149151,1414444.1214905526
4457,6,3,48,2,11.117577261903655,1348210.268214289
4458,6,4,20,3,3.19249820139943,1409799.5053958017
4184,5,4,34,3,12.507119897144818,1284919.6403085655
2636,6,4,31,3,3.226874207924435,856301.3773762267
4696,3,2,29,3,7.40692493574929,1411877.2251927522
3999,4,2,38,1,3.7139973314723056,1199481.0080055832
4152,5,2,48,3,14.14939929346301,1242482.802119611
1698,3,2,11,2,4.9187901628869,548826.6295113394
3160,3,3,40,1,8.445328090572493,932242.0157282825
1001,1,3,46,3,18.017820774756796,244121.5376757296
1641,6,3,17,1,4.882011284580436,545907.9661462586
3267,2,1,20,2,10.648296215216803,977341.1113543496
2589,2,4,12,3,8.966161562154419,802706.5153135367
1854,5,2,20,2,1.344356779868865,611519.9296603934
2759,2,2,7,3,16.062404157883442,832394.7875263497
4296,4,3,45,3,2.3118722199773947,1324905.383340068
3432,2,2,39,3,10.010845398562118,1024297.4638043137
4474,5,2,45,3,11.65288760384005,1345904.33718848
2661,2,4,6,3,12.940102675677155,826812.6919729685
2153,4,3,22,1,14.084000956849636,635588.9971294511
2076,1,4,43,3,5.812175286931587,608270.4741392052
2707,5,1,31,3,1.189596756510538,851368.2097304683
3777,1,1,10,1,14.745429584743327,1105543.71124577
2695,1,1,21,1,11.177475387603993,784594.5738371881
2733,1,3,21,1,16.886236360937726,776937.2909171868
2439,3,2,42,1,16.606378895113192,694106.8633146604
3294,6,3,24,1,17.02319718796978,999673.4084360907
1835,3,3,21,1,10.216798539611263,554464.6043811662
4510,6,2,27,3,7.338939520900447,1389449.1814372987
1202,1,4,28,3,16.039605849236032,346831.1824522919
4255,5,1,12,2,9.574588147555843,1297151.2355573324
1122,6,4,17,3,4.485401731665256,400405.79480500426
1400,4,1,1,3,17.244506371668013,437846.48088499595
1766,4,3,28,1,17.7686376586746,511630.0870239762
1293,2,1,20,1,9.859885366663232,369153.3439000103
3327,6,3,14,3,2.4382948188859617,1067678.1155433422
4908,5,4,26,2,8.368695708421694,1505399.912874735
3931,3,3,49,1,16.267215529789464,1136324.3534106317
4681,1,4,30,3,18.133706542378345,1365550.880372865
1197,2,2,14,3,4.865982107454321,375101.053677637
4029,4,2,50,2,2.272498628480159,1226178.5041145596
2930,3,2,22,2,17.669658609523935,858783.0241714282
4582,3,3,23,1,8.39869384059863,1373040.9184782042
3799,1,2,43,2,11.293458321083701,1099174.6250367488
3191,6,1,12,3,19.393250428964418,982109.2487131067
1608,4,4,21,3,2.2647298303702343,537895.8105088894
4272,5,4,42,2,13.318042141589816,1281244.8735752306
2147,3,1,36,2,2.4080030289224745,656217.9909132326
1186,1,3,32,2,8.133909640863507,344343.2710774095
4397,5,3,2,2,16.27247635867549,1350044.5709239736
3511,6,4,18,1,9.235972422357055,1099904.082732929
4420,4,2,22,2,19.94646472415606,1307542.6058275318
2794,6,3,28,1,11.622126413985441,857315.6207580437
1659,3,3,29,3,7.102080900083116,526346.7572997506
3811,5,1,38,2,5.1821151921903095,1158460.6544234292
4002,5,1,43,1,7.659890151437074,1204750.3295456888
2955,5,2,46,2,8.078132201431465,886898.6033957056
3450,3,3,24,3,2.3055598767552583,1080387.3203697342
2369,3,3,36,3,8.02190978910869,718903.270632674
2986,6,1,46,3,9.820531875045273,913116.4043748642
2534,2,3,7,2,14.732017292537288,757011.9481223881
1146,6,4,41,2,13.47786020971055,363889.41937086836
4219,4,1,15,1,14.46654744935393,1269065.3576519382
3911,1,2,7,3,1.1589099556602849,1200441.2701330192
2734,5,1,0,2,5.135680592030185,866064.9582239095
2843,2,3,43,3,13.572001479597274,831190.9955612082
1488,1,2,4,3,10.195797995415196,463969.6060137544
3976,2,1,2,1,1.100956037698573,1213044.1318869044
2959,6,4,0,1,16.285398206204626,920007.8053813861
2663,3,4,3,1,15.68338189251641,811263.8543224508
3598,5,1,39,1,11.41996409687769,1073467.1077093668
3385,6,4,34,3,2.26280318974917,1084287.5904307524
3919,1,4,31,1,15.563785941119109,1126954.6421766428
1640,1,4,41,1,12.090558166895915,457421.32549931225
2802,1,2,33,1,15.857239566001224,794918.2813019963
3520,1,4,42,1,15.283192855520968,1011690.4214334371
2969,1,4,24,3,16.257039367198907,868647.8818984033
3198,2,4,9,1,10.842153261687871,964308.5402149364
2438,6,2,20,3,3.666165845676785,795751.5024629696
4369,5,1,45,2,13.751991994214086,1289034.0240173577
2634,3,3,38,3,12.789001915987441,782896.9942520377
1262,3,4,26,3,15.102810556782657,388867.568329652
2787,6,1,26,1,4.2277391149639705,878264.7826551081
3191,6,4,1,2,4.704528798105495,1028576.4136056835
3393,3,2,40,2,17.917780827167242,982814.6575184983
1623,3,1,47,2,15.249578170589345,446720.26548823196
2016,2,2,12,2,18.256341285306135,587059.9761440816
4643,4,4,8,3,15.415591102114494,1425760.2266936565
1880,5,4,35,2,12.345950813815735,570522.1475585528
3049,1,2,21,3,13.428522003529599,893281.4339894112
3944,4,3,41,3,17.89343055486019,1172803.7083354194
2327,6,2,25,3,11.99732833572687,722319.0149928194
3301,3,4,11,2,13.01543516223936,1005374.6945132819
4723,4,2,16,1,3.973057604068411,1438519.8271877947
1452,5,3,13,1,10.004503182205951,472613.49045338214
4108,6,2,13,2,14.61154512720388,1260258.3646183885
2183,1,3,33,1,6.147911268010943,635377.2661959672
4062,1,3,19,1,4.842829429966164,1225738.5117101015
3056,5,2,10,3,6.962709356263895,970221.8719312083
4304,5,2,15,3,5.588511931863835,1346178.4642044085
4170,3,1,50,2,5.083340103691521,1231135.9796889254
2682,1,4,30,2,9.072166014493652,800686.5019565191
3863,6,3,5,1,18.248931763787148,1184395.2047086386
3255,4,1,18,3,10.634133288035647,1004320.6001358931
2154,6,2,36,2,4.570487235491138,686745.5382935266
1403,2,4,3,2,2.4624617182366073,465459.6148452902
3199,2,1,46,2,14.226966757620579,915965.0997271383
3101,5,3,3,2,8.273176524291369,979410.4704271259
4191,3,1,19,2,16.614787985121826,1234857.6360446345
2696,2,3,9,2,13.530704604174634,816224.8861874761
4991,1,2,23,1,16.128587560286,1444421.237319142
1627,6,4,34,3,6.166974748950526,531035.0757531484
1586,6,4,25,3,14.154819526760104,513953.5414197197
2648,5,4,36,2,6.017177709180657,825098.466872458
2443,4,2,37,3,18.84230110955554,719495.0966713334
2445,5,3,20,3,13.091111349134113,760580.6659525976
1103,4,2,39,3,7.1657242033315,345696.8273900055
4923,5,4,38,2,6.1207253835531805,1510377.8238493404
1253,5,2,20,2,4.627605116361226,412416.1846509163
4298,5,2,9,3,14.198178218980829,1316842.4653430574
4183,4,2,37,3,5.1555966469606185,1282281.2100591182
3557,4,3,45,2,12.310762052622293,1049882.713842133
2496,5,1,3,1,6.028065511581789,795592.8034652546
1098,2,1,44,3,13.577409951083503,291504.7701467495
3200,3,2,19,1,16.483854842270247,930849.4354731892
2884,3,1,16,3,15.78247961974841,858222.5611407547
3961,3,1,6,1,15.456175287684852,1187470.4741369453
2919,4,2,3,1,4.56672570815279,913410.8228755416
1877,4,2,28,1,2.6793139927058554,581427.0580218824
1337,2,4,13,2,14.280027741260326,406708.91677621903
4777,3,1,2,1,7.998597062092675,1440796.208813722
3869,3,3,23,1,9.214578301663598,1154534.2650950092
4234,5,2,36,1,1.5918327630744302,1293820.5017107767
4791,4,4,15,3,5.931952536225935,1486952.1423913222
1956,3,3,3,1,1.6398516736148165,632502.4449791556
2704,6,1,23,3,17.704529679423704,830911.4109617289
1160,2,4,33,1,5.624536981152079,346199.38905654376
2603,6,2,29,1,11.589406221887153,787777.7813343386
3848,6,3,17,2,1.7406070925614778,1218387.1787223155
1397,2,2,18,3,13.670100434807503,410622.6986955775
2300,6,1,30,1,7.137519569327783,708798.4412920167
1815,3,3,18,3,18.06046455219565,541245.606343413
4987,4,1,48,3,17.874245589746682,1465404.2632307599
2527,2,1,45,2,7.180521748873208,741587.4347533804
2919,5,4,18,2,18.11825701811889,888661.2289456433
2415,6,2,21,2,19.9269957964768,731896.0126105696
2158,2,3,23,2,16.682897618355014,626197.307144935
2218,1,1,44,2,17.05255560734935,599175.333177952
1400,1,1,11,2,5.731165986072709,418282.5020417819
1639,4,3,29,2,11.95734557829737,501680.9632651079
4104,3,1,37,2,2.277862365379989,1236294.41290386
3735,4,4,30,1,2.8034407996117245,1142169.677601165
1459,4,4,35,3,19.97895962863252,422852.1211141024
1954,4,4,18,2,7.206145739092308,620378.5627827231
4954,4,4,47,2,15.21549432892808,1476798.5170132157
1469,5,1,44,3,16.326636007509514,425066.0919774715
4446,5,3,35,1,17.302442149137356,1329770.6735525879
2045,2,3,29,3,19.954937650640975,574539.1870480771
3797,1,3,48,3,5.588433219880489,1130987.7003403585
2693,4,3,32,2,1.7666657103342944,848388.0028689972
3085,2,2,17,3,8.812638841897133,936036.0834743086
3277,1,3,48,3,3.471532726749992,964869.40181975
4436,6,2,27,2,1.4260918940790472,1377246.7243177628
1562,3,2,46,2,7.848109715688236,456435.6708529353
3485,5,4,10,2,15.891026770429493,1076883.9196887114
2799,6,2,44,2,11.757433133276347,842033.700600171
4354,1,1,32,3,6.942781794996727,1286327.65461501
3074,6,2,16,3,13.432498104361674,966457.505686915
1225,3,4,5,1,5.408345425867403,412964.9637223978
4348,1,2,3,1,1.2732474753696155,1331661.2575738912
1797,6,1,19,3,15.52271434229212,552952.8569731236
4680,5,1,47,1,12.851118612416172,1376986.6441627515
3331,5,1,46,3,15.48374986551824,992136.7504034453
3926,2,4,26,1,1.7398223170656466,1200546.533048803
1959,6,4,14,2,16.90527292878239,624866.1812136528
2504,4,3,5,1,12.770997800689763,765562.0065979307
1452,6,4,46,2,11.704511663540163,449568.4650093795
4067,1,1,13,2,12.8676669141761,1202505.9992574716
4900,1,1,10,2,17.424231690498917,1435475.3049285032
1815,6,4,38,2,12.151793624619234,562147.6191261424
1658,3,2,8,1,12.038057217875407,509142.8283463738
4587,5,4,25,3,19.82290398424955,1395258.2880472513
1546,1,4,15,2,15.377873174302792,457231.38047709165
2215,5,1,4,1,9.40358230357157,704769.2530892853
4120,1,3,9,2,14.440543000625627,1226026.3709981232
4583,2,1,49,1,8.395378962143981,1333495.8631135682
1016,4,3,2,1,5.348633787186481,345636.09863844054
4243,1,1,12,1,12.340185660867428,1242677.4430173978
2243,5,4,42,3,18.635459864165078,668620.6204075047
3205,2,1,48,1,18.653650880293792,888954.0473591186
3524,1,1,29,1,7.496200284004316,1031177.399147987
2069,3,1,44,3,11.025871858212204,602468.3844253634
4444,4,4,5,3,5.021082072827363,1399856.753781518
3565,1,4,16,1,19.916991080478784,1030894.0267585637
3146,2,4,44,3,19.641240249490778,899400.2792515276
4963,3,4,50,2,13.3406696644415,1461436.9910066754
2768,6,3,18,2,16.283867133871993,852168.398598384
2060,2,3,41,3,14.5869030643903,601397.2908068291
3327,2,2,34,3,12.270006161749896,974413.9815147503
4420,3,4,45,1,2.013611942789056,1331630.1641716328
3544,2,3,25,3,9.64052250850056,1069984.4324744982
1301,3,1,50,1,13.8209397411808,349574.1807764576
1180,1,4,4,2,13.873100663790009,356450.69800862996
1606,3,2,28,3,8.08932975002529,491666.0107499241
4170,3,2,36,1,18.89214774650258,1197247.5567604923
1699,4,2,19,1,4.179783612498839,544714.6491625034
1992,3,1,48,2,10.506829478095652,564585.5115657131
2139,3,3,20,3,14.126795554465634,651969.6133366032
1190,6,1,9,2,14.245580311944375,378658.25906416686
3300,1,4,4,1,13.324140178607495,989337.5794641775
1980,4,2,35,1,6.230476055585343,596534.571833244
3975,6,1,5,3,3.9679248050458176,1266377.2255848625
3006,5,1,25,1,13.082866209707506,896066.4013708775
2184,1,3,3,3,12.386740206649318,673093.779380052
4327,1,3,38,2,4.407764195495579,1281241.7074135132
4394,5,2,38,3,14.397643765840703,1327979.068702478
1127,3,1,49,3,9.648267842939472,320565.1964711816
3065,6,1,34,1,13.687451240459906,926959.6462786202
2816,2,3,0,1,16.90997451563286,836165.0764531014
2758,4,1,23,3,4.22484014296154,861086.4795711153
3613,2,1,35,1,1.363752491939897,1076339.7425241803
1569,5,1,5,1,15.80294914151995,475561.1525754401
2346,1,3,40,1,12.584251077899703,658953.2467663009
2895,1,2,45,3,14.293151822820313,831560.5445315391
3733,4,4,43,1,16.92494452478421,1095404.1664256474
4863,1,2,30,3,16.25340776166551,1419591.7767150034
1625,1,4,19,1,19.257482791647668,458678.551625057
4359,4,1,23,2,11.182766498190245,1308628.7005054292
